Question Type,Reference,Question,Answer
QT,1:1,Quote Hebrews 1:1,"Long ago, at many times and in many ways, God spoke to our fathers by the prophets"
QT,1:2,Quote Hebrews 1:2,"but in these last days he has spoken to us by his Son, whom he appointed the heir of all things, through whom also he created the world."
QT,1:3,Quote Hebrews 1:3,"He is the radiance of the glory of God and the exact imprint of his nature, and he upholds the universe by the word of his power. After making purification for sins, he sat down at the right hand of the Majesty on high"
QT,1:4,Quote Hebrews 1:4,having become as much superior to angels as the name he has inherited is more excellent than theirs
FTV,1:1,"Long ago, at many times","and in many ways, God spoke to our fathers by the prophets"
FTV,1:2,but in these last days,"he has spoken to us by his Son, whom he appointed the heir of all things, through whom also he created the world."
FTV,1:3,He is the radiance of,"the glory of God and the exact imprint of his nature, and he upholds the universe by the word of his power. After making purification for sins, he sat down at the right hand of the Majesty on high"
FTV,1:4,having become as much superior,to angels as the name he has inherited is more excellent than theirs
INT,1:1,"Long ago, when?",At many times
INT,1:1,"Long ago, how?",In many ways
INT,1:1,"Long ago, at many times and in what?",Many ways
INT,1:1,Many times and in what?,Many ways
INT,1:1,"In many ways, God what?",Spoke to our fathers by the prophets
INT,1:1,"In many ways, God spoke to our fathers how?",By the prophets
INT,1:2,But in these last what?,Days
INT,1:2,But in these last days he has what?,Spoken to us by his Son
INT,1:2,"In these last days he has spoken to us by his Son, whom he what?",Appointed the heir of all things
INT,1:3,The radiance of what?,The glory of God
INT,1:3,He is the radiance of what?,The glory of God
INT,1:3,The exact what?,Imprint of his nature
INT,1:3,The exact imprint of what?,His nature
INT,1:3,What of his nature?,The exact imprint
INT,1:3,And he upholds what?,The universe
INT,1:3,And he upholds the universe how?,By the word of his power
INT,1:3,After making what?,Purification for sins
INT,1:3,"After making purification for sins, he what?",Sat down at the right hand of the Majesty on high
INT,1:4,The name he has inherited is what?,More excellent than theirs
INT,1:4,What more excellent than theirs?,The name he has inherited
INT,1:6,"And again, when he brings who?",The firstborn
INT,1:6,He brings the firstborn where?,Into the world
INT,1:6,"When he brings the firstborn into the world, he says what?",Let all God's angels worship him
INT,1:7,"He makes his angels winds, and what?",His ministers a flame of fire
INT,1:7,"His angels winds, and his ministers what?",A flame of fire
INT,1:7,His ministers a what?,Flame of fire
INT,1:7,A flame of what?,Fire
INT,1:7,"What, a flame of fire?",His ministers
INT,1:8,The scepter of uprightness is what?,The scepter of your kingdom
INT,1:8,The scepter of uprightness is the scepter of what?,Your kingdom
INT,1:9,You have loved what?,Righteousness
INT,1:9,You have loved righteousness and hated what?,Wickedness
INT,1:9,And hated what?,Wickedness
INT,1:9,Who has anointed you?,"God, your God"
INT,1:9,Anointed you with what?,The oil of gladness beyond your companions
INT,1:9,The oil of what?,Gladness
INT,1:9,What of gladness?,The oil
INT,1:9,Anointed you with the oil of gladness how?,Beyond your companions
INT,1:10,"You, Lord, laid what?",The foundation of the earth
INT,1:10,"You, Lord, laid the foundation of the earth when?",In the beginning
INT,1:11,They will all wear out how?,Like a garment
INT,1:11,They will all wear out like what?,A garment
INT,1:12,Like a robe you will what?,Roll them up
INT,1:12,They will be changed how?,Like a garment
INT,1:14,Are they not all ministering what?,Spirits
INT,1:14,Ministering what?,Spirits
INT,1:14,"What, sent out to serve for the sake of those who are to inherit salvation?",Ministering spirits
INT,1:14,Ministering spirits sent out to what?,Serve for the sake of those who are to inherit salvation
INT,1:14,Ministering spirits sent where?,Out
QT,2:14,Quote Hebrews 2:14,"Since therefore the children share in flesh and blood, he himself likewise partook of the same things, that through death he might destroy the one who has the power of death, that is, the devil"
QT,2:15,Quote Hebrews 2:15,and deliver all those who through fear of death were subject to lifelong slavery.
FTV,2:14,Since therefore the children share ,"in flesh and blood, he himself likewise partook of the same things, that through death he might destroy the one who has the power of death, that is, the devil"
FTV,2:15,and deliver all those who ,through fear of death were subject to lifelong slavery.
INT,2:1,Therefore we must pay what?,Much closer attention to what we have heard
INT,2:1,What attention?,Much closer
INT,2:1,"We must pay much closer attention, why?",Lest we drift away from it
INT,2:1,Lest we drift where?,Away from it
INT,2:2,"What, declared by angels?",The message
INT,2:2,What proved to be reliable?,The message declared by angels
INT,2:2,Proved to be what?,Reliable
INT,2:2,Every transgression or disobedience received what?,A just retribution
MA,2:2,What received a just retribution?,Every transgression or disobedience
INT,2:2,Which retribution?,A just
INT,2:2,Every transgression or what?,Disobedience
INT,2:3,It was attested to us by whom?,Those who heard
INT,2:4,While God also bore what?,Witness
MA,2:4,God also bore witness by what?,Signs and wonders and various miracles
MA,2:4,God also bore witness how?,By signs and wonders and various miracles and by gifts of the Holy Spirit
INT,2:4,"What, distributed according to his will?",Gifts of the Holy Spirit
MA,2:4,Signs and what?,Wonders and various miracles
INT,2:4,Which miracles?,Various
INT,2:5,God subjected what?,The world to come
INT,2:6,"What, that you are mindful of him?",What is man
INT,2:6,"You are mindful of him, or the son of man, that you what?",Care for him
INT,2:9,"Lower than the angels, namely who?",Jesus
MA,2:9,"Namely Jesus, crowned with what?",Glory and honor
INT,2:9,"Namely Jesus, crowned with glory and honor why?",Because of the suffering of death
INT,2:9,He might taste death for who?,Everyone
INT,2:9,"He might taste death for everyone, how?",By the grace of God
INT,2:10,What things exist?,All
INT,2:10,In bringing many what?,Sons
INT,2:10,In bringing many sons where?,To glory
INT,2:10,"In bringing many sons to glory, should make what?",The founder of their salvation perfect through suffering
INT,2:11,For he who sanctifies and those who are sanctified all have what?,One source
INT,2:11,That is why he is not ashamed to what?,Call them brothers
INT,2:11,He is not ashamed to call them what?,Brothers
INT,2:12,In the midst of what?,The congregation
INT,2:12,"In the midst of the congregation, I will what?",Sing your praise
INT,2:12,I will sing what?,Your praise
INT,2:12,I will sing your praise where?,In the midst of the congregation
INT,2:13,I will put my trust where?,In him
INT,2:14,He himself likewise what?,Partook of the same things
INT,2:14,Who likewise partook of the same things?,He himself
INT,2:14,"He himself likewise partook of the same things, why?",That through death he might destroy the one who has the power of death
INT,2:14,Through death he might destroy who?,The one who has the power of death
INT,2:14,"Through death he might destroy the one who has the power of death, who?",The devil
INT,2:14,Who is the devil?,The one who has the power of death
INT,2:15,And deliver who?,All those who through fear of death were subject to lifelong slavery
INT,2:15,Which slavery?,Lifelong
INT,2:15,Subject to what?,Lifelong slavery
INT,2:15,Subject to lifelong slavery how?,Through fear of death
INT,2:17,To make propitiation for what?,The sins of the people
QT,3:12,Quote Hebrews 3:12,"Take care, brothers, lest there be in any of you an evil, unbelieving heart, leading you to fall away from the living God."
QT,3:13,Quote Hebrews 3:13,"But exhort one another every day, as long as it is called “today,” that none of you may be hardened by the deceitfulness of sin."
QT,3:14,Quote Hebrews 3:14,"For we have come to share in Christ, if indeed we hold our original confidence firm to the end."
FTV,3:12,"Take care, brothers, lest there","be in any of you an evil, unbelieving heart, leading you to fall away from the living God."
FTV,3:13,But exhort one another every,"day, as long as it is called “today,” that none of you may be hardened by the deceitfulness of sin."
FTV,3:14,For we have come to,"share in Christ, if indeed we hold our original confidence firm to the end."
INT,3:1,Which calling?,A heavenly
INT,3:1,"Who, the apostle and high priest of our confession?",Jesus
INT,3:1,"Consider Jesus, the apostle and what?",High priest of our confession
INT,3:1,"Consider Jesus, the apostle and high priest of what?",Our confession
INT,3:3,For Jesus has been counted what?,Worthy of more glory than Moses
INT,3:3,Jesus has been counted worthy of more glory than whom?,Moses
INT,3:4,For every house is built by who?,Someone
INT,3:4,"Every house is built by someone, but what?",The builder of all things is God
INT,3:4,"Every house is built by someone, but the builder of all things is who?",God
INT,3:5,To testify to what?,The things that were to be spoken later
INT,3:5,To testify to the things that were to be spoken when?,Later
INT,3:6,Our boasting in what?,Our hope
INT,3:8,On the day of testing where?,In the wilderness
INT,3:10,Provoked with that generation and said what?,They always go astray in their heart
INT,3:10,The always go astray where?,In their heart
INT,3:10,They have not known what?,My ways
INT,3:12,"An evil, unbelieving what?",Heart
INT,3:12,"An evil, unbelieving heart, leading you to what?",Fall away from the living God
INT,3:12,Leading you to what?,Fall away from the living God
INT,3:12,"What, leading you to fall away from the living God?","An evil, unbelieving heart"
INT,3:13,But exhort who?,One another
INT,3:13,Exhort one another when?,Every day
INT,3:13,"Exhort one another every day, why?",That none of you may be hardened by the deceitfulness of sin.
INT,3:13,That none of you may be what?,Hardened by the deceitfulness of sin
INT,3:13,Hardened by what?,The deceitfulness of sin
INT,3:13,The deceitfulness of what?,Sin
INT,3:14,"We hold our originial confidence firm to the end, why?",To share in Christ
INT,3:14,We hold our original confidence how?,Firm to the end
INT,3:14,Firm to when?,The end
INT,3:16,"Who, and yet rebelled?",Those who heard
INT,3:17,"Those who sinned, whose what?",Bodies fell in the wilderness
INT,3:19,"What, because of unbelief?",They were unable to enter
QT,4:11,Quote Hebrews 4:11,"Let us therefore strive to enter that rest, so that no one may fall by the same sort of disobedience."
