Book,Reference,Question Type,Question,Answer
1 Thessalonians,1:9,QT,Quote 1 Thessalonians 1:9,"For they themselves report concerning us the kind of reception we had among you, and how you turned to God from idols to serve the living and true God,"
1 Thessalonians,1:10,QT,Quote 1 Thessalonians 1:10,"and to wait for his Son from heaven, whom he raised from the dead, Jesus who delivers us from the wrath to come."
1 Thessalonians,1:9,FTV,For they themselves report concerning ,"us the kind of reception we had among you, and how you turned to God from idols to serve the living and true God,"
1 Thessalonians,1:10,FTV,and to wait for his ,"Son from heaven, whom he raised from the dead, Jesus who delivers us from the wrath to come."
1 Thessalonians,1:2,INT,Constantly mentioning you where?,In our prayers
1 Thessalonians,1:2,INT,Mentioning you in what?,Our prayers
1 Thessalonians,1:3,MA,Remembering before our God and Father your what?,Work of faith and labor of love and steadfastness of hope in our Lord Jesus Christ
1 Thessalonians,1:3,CR,Remembering before whom?,Our God and Father
1 Thessalonians,1:4,CR,He has chosen whom?,You
1 Thessalonians,1:4-5,MA,"He has chosen you, because our gospel came to you how?","Not only in word, but also in power and in the Holy Spirit and with full conviction"
1 Thessalonians,1:5,INT,Kind of men we proved to be among you why?,For your sake
1 Thessalonians,1:5,CR,What and with full conviction?,In power and in the Holy Spirit
1 Thessalonians,1:8,INT,What sounded forth from you in Macedonia and Achaia?,The word of the Lord
1 Thessalonians,1:8,MA,Word of the Lord sounded forth from you where?,In Macedonia and Achaia
1 Thessalonians,1:8,INT,What has gone forth everywhere?,Your faith in God
1 Thessalonians,1:9,INT,For they themselves report concerning who?,Us
1 Thessalonians,1:9,INT,For they themselves report concerning us what?,The kind of reception we had among you
1 Thessalonians,1:9,INT,They themselves report concerning us the kind of what?,Reception we had among you
1 Thessalonians,1:9,INT,The kind of reception we what?,had among you
1 Thessalonians,1:9,INT,What from idols to serve the living and true God?,You turned to God
1 Thessalonians,1:9,CR,What from idols?,You turned to God
1 Thessalonians,1:10,CR,And to wait for what?,His Son from heaven
1 Thessalonians,1:10,INT,"To wait for his Son from heaven, whom he what?",Raised from the dead
1 Thessalonians,1:10,INT,"Whom he raised from the dead, who?",Jesus who delivers us from the wrath to come
1 Thessalonians,1:10,INT,Jesus who delivers us from what?,The wrath to come
1 Thessalonians,1:10,INT,"Who, whom he raised?",His Son from heaven
1 Thessalonians,1:10,INT,Who delivers us from the wrath to come?,Jesus
1 Thessalonians,2:3,QT,Quote 1 Thessalonians 2:3,"For our appeal does not spring from error or impurity or any attempt to deceive,"
1 Thessalonians,2:4,QT,Quote 1 Thessalonians 2:4,"but just as we have been approved by God to be entrusted with the gospel, so we speak, not to please man, but to please God who tests our hearts."
1 Thessalonians,2:5,QT,Quote 1 Thessalonians 2:5,"For we never came with words of flattery, as you know, nor with a pretext for greed—God is witness."
1 Thessalonians,2:13,QT,Quote 1 Thessalonians 2:13,"And we also thank God constantly for this, that when you received the word of God, which you heard from us, you accepted it not as the word of men but as what it really is, the word of God, which is at work in you believers."
1 Thessalonians,2:3,FTV,For our appeal does not,"spring from error or impurity or any attempt to deceive,"
1 Thessalonians,2:4,FTV,but just as we have,"been approved by God to be entrusted with the gospel, so we speak, not to please man, but to please God who tests our hearts."
1 Thessalonians,2:5,FTV,For we never came with ,"words of flattery, as you know, nor with a pretext for greed—God is witness."
1 Thessalonians,2:13,FTV,And we also thank God,"constantly for this, that when you received the word of God, which you heard from us, you accepted it not as the word of men but as what it really is, the word of God, which is at work in you believers."
1 Thessalonians,2:2,INT,Been shamefully treated where?,At Philippi
1 Thessalonians,,INT,Treated at Philippi how?,Shamefully
1 Thessalonians,,INT,Already suffered and been shamefully what?,Treated
1 Thessalonians,,INT,What and been shamefully treated at Philippi?,We had already suffered
1 Thessalonians,,CR,Treated where?,At Philippi
1 Thessalonians,,CR,Shamefully what?,Treated
1 Thessalonians,,CR,Treated how?,Shamefully
1 Thessalonians,,INT,We had boldness in who?,Our God
1 Thessalonians,,INT,We had boldness in our God to what?,Declare to you the gospel of God in the midst of much conflict
1 Thessalonians,,INT,What in the midst of much conflict?,Declare to you the gospel of God
1 Thessalonians,,INT,In the midst of much what?,Conflict
1 Thessalonians,,CR,Boldness in whom?,Our God
1 Thessalonians,2:3,MA,Our appeal does not spring from what?,Error or impurity or any attempt to deceive
